FRAMEID	COMMONNAME	SMILES	INCHI	CLASS?
1-KESTOTRIOSE	1-kestotriose	COC3OCC2OC1OCCOCOCOCO1COCOCCOO2COCOCCOO3	InChI1S/C18H32O16/c19-1-6-923122613271631-634-181529112583-2133-185-30-174-221428102472-2032-17/h6-1619-29H1-5H2/t6-7-8-9-10-11-12+13-14+15+16-17-18+/m1/s1	false
CPD-15590	<i>aldehydo</i>-D-galactose	[CH]OCCCCCOOOOO	InChI1S/C6H12O6/c7-1-395116124102-8/h13-68-12H2H2/t3-4+5+6-/m0/s1	false
CPD-13647	4-coumaroylhexanoylmethane	CCCCCCOCCOCCC1CCCOCC1	InChI1S/C16H20O3/c1-2-3-4-5-151812-161911-8-13-6-9-141710-7-13/h6-1217-18H2-5H21H3/b11-8+15-12-	false
CPD-7671	methanethiol	CS	InChI1S/CH4S/c1-2/h2H1H3	false
METOH	methanol	CO	InChI1S/CH4O/c1-2/h2H1H3	false
TRANS-2-HEXENAL	E-2-hexenal	CCCCC[CH]O	InChI1S/C6H10O/c1-2-3-4-5-6-7/h4-6H2-3H21H3/b5-4+	false
BETA-D-FRUCTOSE	&beta;-D-fructofuranose	COC1OCOCOCC1OO	InChI1S/C6H12O6/c7-1-3-495106112-812-3/h3-57-11H1-2H2/t3-4-5+6-/m1/s1	false
CPD-11945	luteolinidin	C3CC2[O+]C1CCCCC1CC2OOCCOCC3O	InChI1S/C15H10O5/c16-9-6-121810-2-4-1420-15107-98-1-3-111713195-8/h1-7HH3-16171819/p+1	false
CPD-13026	<i>N</i>-hydroxy-L-tryptophan	C2NC1CCCCC1CCCNOCO[O-]2	InChI1S/C11H12N2O3/c14-11151013-165-7-6-12-9-4-2-1-3-879/h1-461012-1316H5H2H1415/p-1/t10-/m0/s1	false
CPD-15717	&beta;-maltose	CC1OCCCC1OOOOC2COCCC2OOOCOO	InChI1S/C12H22O11/c13-1-3-5156169191222-323-10-42-1421-112081871017/h3-20H1-2H2/t3-4-5-6+7-8-9-10-11-12-/m1/s1	false
CPD-9995	carboxynorspermidine	CCC[N+][N+]CCC[N+]C[O-]O	InChI1S/C7H17N3O2/c8-3-1-4-10-5-2-6971112/h610H1-58-9H2H1112/p+2	false
CPD-5484	6-<i>N</i>-isopent-2-enyl-<i>N</i>-methylamino-purine	CCCCCC1NCNC2NCNC12CC	InChI1S/C12H16N4/c1-824-5-9310-11-1215-6-13-1016-7-14-11/h46-79H5H21-3H3H13141516	false
CPD-14629	spinosyn tricyclic macrolactone	CCC2OCOCC[CH]1CC[CH]3CCOC[CH][CH]1CCCOCCCCCC2O3	InChI1S/C24H34O5/c1-3-19-5-4-6-2226152232711-10-20-169-12-242829-197-8-17-13-182514-211720/h7-1215-2225-26H3-613-14H21-2H3/b11-10+12-9+/t15-16+17-18-19+20-21-22+/m1/s1	false
D-LACTATE	<i>R</i>-lactate	CCC[O-]OO	InChI1S/C3H6O3/c1-24356/h24H1H3H56/p-1/t2-/m1/s1	false
EPISTEROL	episterol	CCCCCCCCC[CH]3CC[CH]4C2CC[CH]1CCOCCCC1C2CCCC34	InChI1S/C28H46O/c1-1821937-8-20424-11-12-25-23-10-9-21-17-222913-15-27215262314-16-2824256/h101820-2224-2629H37-911-17H21-24-6H3/t20-21+22+24-25+26?27+28-/m1/s1	false
CPD-9024	allopurinol	C1C2CNCNCNN12O	InChI1S/C5H4N4O/c10-5-3-1-8-9-436-2-7-5/h1-2HH2678910	false
CPD-7965	gentiodelphin	COC8COCOCOCOC4CC3CCOCOCOC2COCOCOCCOCOCCC1CCCOCOC1O2C3[O+]C7CC4COC6COCOCOCCOCOCCC5CCCOCOC5O6CC[O-]C7O8	InChI1S/C51H52O28/c52-16-33-3962426545685177-3376-32-15-23-2913-225314-302374-49-4669436640633478-4917-71-36597-3-19-1-5-245426569-1973-483221-11-285838613112-2175-50-4770446741643579-5018-72-37608-4-20-2-6-2555275710-20/h1-1533-3539-4749-5262-70H16-18H2H6-535455565758596061/t33-34-35-39-40-41-42+43+44+45-46-47-49-50-51-/m1/s1	false
D-SORBITOL-6-P	D-sorbitol 6-phosphate	CCCCCCOP[O-][O-]OOOOOO	InChI1S/C6H15O9P/c7-1-38510611492-15-16121314/h3-11H1-2H2H2121314/p-2/t3-4+5+6+/m0/s1	false
CPD-12511	UDP-&beta;-L-arabinofuranose	COC1COCOCO1OPO[O-]OPO[O-]OCC2OCCOCO2N3CCCONCO3	InChI1S/C14H22N2O16P2/c17-3-5-81911221330-531-34262732-33242528-4-6-92010211229-616-2-1-71815-141623/h1-25-68-131719-22H3-4H2H2425H2627H151823/p-2/t5-6+8-9+10+11+12+13+/m0/s1	false
CPD-7614	1-naphthaldehyde	CC2CCCC1CCCCC12O	InChI1S/C11H8O/c12-8-10-6-3-5-9-4-1-2-7-11910/h1-8H	false
CPD-9046	44'-dithiodipyridine	C1NCCCC1SSC2CCNCC2	InChI1S/C10H8N2S2/c1-5-11-6-2-9113-14-10-3-7-12-8-4-10/h1-8H	false
TESTOSTERONE	testosterone	CC34[CH]2[CH][CH]1CCCOCC1CC2CCC3CCOCC4	InChI1S/C19H28O2/c1-18-9-7-132011-12183-4-14-15-5-6-17211915210-8-161418/h1114-1721H3-10H21-2H3/t14-15-16-17-18-19-/m0/s1	false
2-ACETO-LACTATE	<i>S</i>-2-acetolactate	CCOCCOCO[O-]	InChI1S/C5H8O4/c1-36529478/h9H1-2H3H78/p-1/t5-/m0/s1	false
CPD-707	campesterol	CCCCCCCCC[CH]3CC[CH]4[CH]2CCC1CCOCCCC1[CH]2CCCC34	InChI1S/C28H48O/c1-1821937-8-20424-11-12-25-23-10-9-21-17-222913-15-27215262314-16-2824256/h918-2022-2629H7-810-17H21-6H3/t19-20-22+23+24-25+26+27+28-/m1/s1	false
CPD-11521	OPC6-CoA	CCCCCC4COCCCCCCCCCSCCNCOCCNCOCOCCCCOPOOPOOCC1OCCC1OP[O-]O[O-]ON3C2CCNNCN2NC3[O-][O-]O4	InChI1S/C37H60N7O18P3S/c1-4-5-7-11-24-2313-14-25244510-8-6-9-12-284766-18-17-39-274615-16-40-35503249372320-59-65565762-64545558-19-26-3161-6351525330483660-2644-22-43-29-333841-21-42-342944/h5721-242630-323648-49H468-20H21-3H3H3946H4050H5455H5657H2384142H2515253/p-4/b7-5-/t23?24?26-30-31-32+36-/m1/s1	false
4-HYDROXY-BUTYRATE	4-hydroxybutanoate	CCCC[O-]OO	InChI1S/C4H8O3/c5-3-1-2-467/h5H1-3H2H67/p-1	false
CPDQT-416	4-methylthiobutyldesulfoglucosinolate	CSCCCCCNOSC1OCCOCOCOCO1	InChI1S/C12H23NO6S2/c1-20-5-3-2-4-813-1821-12-1117101691576-1419-12/h79-1214-18H2-6H21H3/b13-8+/t7-9-10+11-12+/m1/s1	false
ETOH	ethanol	CCO	InChI1S/C2H6O/c1-2-3/h3H2H21H3	false
CPD-15762	&alpha;-D-altrose	COC1COCOCOCOO1	InChI1S/C6H12O6/c7-1-2-384951061112-2/h2-11H1H2/t2-3-4-5+6+/m1/s1	false
DELTA-TOCOPHEROL	&delta;-tocopherol	CCCCCCCCCCCCCCCCC1CCCC2CCOCCCO12C	InChI1S/C27H46O2/c1-20210-7-11-21312-8-13-22414-9-16-27617-15-24-19-252818-235262429-27/h18-2228H7-17H21-6H3/t21-22-27-/m1/s1	false
3-HEXAPRENYL-4-HYDROXYBENZOATE	3-hexaprenyl-4-hydroxybenzoate	CCCCCCCCCCCCCCCCCCCCCCCCCC1COCCCCO[O-]C1CCCCC	InChI1S/C37H54O3/c1-28213-8-14-29315-9-16-30417-10-18-31519-11-20-32621-12-22-33723-24-34-27-3537394025-26-363438/h13151719212325-2738H8-12141618202224H21-7H3H3940/p-1/b29-15+30-17+31-19+32-21+33-23+	false
16-HYDROXYPALMITATE	16-hydroxypalmitate	CCCCCCCCCCCCCCCC[O-]OO	InChI1S/C16H32O3/c17-15-13-11-9-7-5-3-1-2-4-6-8-10-12-14-161819/h17H1-15H2H1819/p-1	false
COUMARYL-ALCOHOL	4-coumaryl alcohol	CCC1CCCOCC1CO	InChI1S/C9H10O2/c10-7-1-2-8-3-5-9116-4-8/h1-610-11H7H2/b2-1+	false
ENTEROBACTIN	enterobactin	C3OCCNCC1COCCCC1OOCOCOCCOCCNCC2CCCCC2OOO3ONCOC4CCCCC4OOO	InChI1S/C30H27N3O15/c34-19-7-1-4-13221937254031-16-10-46-29441833-274215-6-3-9-213624153912-48-30451711-47-28164332-264114-5-2-8-2035231438/h1-916-1834-39H10-12H2H3140H3241H3342/t16-17-18-/m0/s1	false
CHLOROPHYLL-B	chlorophyll <i>b</i>	CCC2CCC4CC9CCCCCCOOCCCCCCCCCCCCCCCCCCCCC5N[Mg]36N1CCCCCCOC1CC2N34CC7CCC8COCCOCOC5CN6789	null	false
FORMATE	formate	[CH][O-]O	InChI1S/CH2O2/c2-1-3/h1HH23/p-1	false
CPD-18085	12-dihydro-&beta;-NADP	C5NC1OCCC1OOCOPOPOCC4CCCN3C2CCNCN2NNC3O4OP[O-][O-]OO[O-]OO[O-]CCCC5CON	InChI1S/C21H30N7O17P3/c22-17-12-1925-7-24-17288-26-1221-1644-4633343514301143-216-41-48383945-47363740-5-10-132915312042-1027-3-1-2-94-27182332/h1-37-810-1113-1620-2129-31H4-6H2H22332H3637H3839H2222425H2333435/p-4/t10-11-13-14-15-16-20-21-/m1/s1	false
CPD0-1650	2-amino-4-[phosphonomethylhydroxy-phosphinyl]butanoate	CPOCPOO[O-][O-]CCO[O-][N+]	InChI1S/C4H11NO7P2/c5-34671-13892-14101112/h3H1-25H2H67H89H2101112/p-2	false
ENT-KAUR-16-EN-19-AL	<i>ent</i>-kaurenal	CC1C4CC3C1CC[CH]2CCCOCCCCC2[CH]3CC4	InChI1S/C20H30O/c1-14-11-20-10-7-16-18213-218-4-9-1916317206-5-151412-20/h1315-17H14-12H22-3H3/t15-16-17+18+19-20-/m1/s1	false
HIS	L-histidine	C1NCNC1CCCO[O-][N+]	InChI1S/C6H9N3O2/c7-5610111-4-2-8-3-9-4/h2-35H17H2H89H1011/t5-/m0/s1	false
SCOPOLETIN	scopoletin	COC2CC1COCOCC1CC2O	InChI1S/C10H8O4/c1-13-9-4-6-2-3-101214-865-7911/h2-511H1H3	false
5-AMINO-LEVULINATE	5-aminolevulinate	CCC[N+]OCC[O-]O	InChI1S/C5H9NO3/c6-3-471-2-589/h1-36H2H89	false
CPD-14281	<i>trans</i>-docos-2-enoyl-CoA	CCCCCCCCCCCCCCCCCCCCCCOSCCNCOCCNCCOCCCCOP[O-]OOP[O-]OOCC1COPO[O-][O-]COCO1N3CNC2CNNCNC23O	InChI1S/C43H76N7O17P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-345271-27-26-45-335124-25-46-41553854432329-64-70616267-69596063-28-32-3766-6856575836534265-3250-31-49-35-394447-30-48-403550/h22-2330-3236-384253-54H4-2124-29H21-3H3H4551H4655H5960H6162H2444748H2565758/p-4/b23-22+/t32-36-37-38+42-/m1/s1	false
THIOL-GROUP	a thiol group	[C---]S	null	false
CPD1F-115	&delta;-carotene	CCCCCCCCCCCCCCCCCCCCCCCCCC1CCCCC1CCCCCCCCC	InChI1S/C40H56/c1-32218-13-21-35524-15-26-36625-14-22-33319-11-12-20-34423-16-27-37729-30-39-38828-17-31-4039910/h11-1214-1618-2022-3039H13172131H21-10H3/b12-11+22-14+23-16+26-15+30-29+33-19+34-20+35-24+36-25+37-27+/t39-/m0/s1	false
CPD-724	6&alpha;-hydroxy-castasterone	CCCCCCOCOCC[CH]3CC[CH]4[CH]2CCO[CH]1CCOCOCCC1[CH]2CCCC34	InChI1S/C28H50O5/c1-1421532532263316418-7-8-19-17-11-222921-12-2330243113-2821620179-10-2718195/h14-2629-33H7-13H21-6H3/t15-16-17-18+19-20-21+22-23-24+25+26+27+28+/m0/s1	false
CPD-10455	4-amino-26-dinitrotoluene	CC1C[N+]O[O-]CC[N+]CC[N+][O-]O1	InChI1S/C7H7N3O4/c1-4-6911122-583-74101314/h2-3H8H21H3/p+1	false
CPD0-1499	N-hydroxy DAP	CCC[N+]CO[O-]CCNOCO[O-]	InChI1S/C7H14N2O5/c8-4610112-1-3-59-1471213/h4-5914H1-38H2H1011H1213/p-1	false
HSO3	hydrogensulfite	OSO[O-]	InChI1S/H2O3S/c1-423/hH2123/p-1	false
CPD-5662	9-mercaptodethiobiotin	CC1CNCN1OCCCCCCO[O-]S	InChI1S/C10H18N2O3S/c13-9145-3-1-2-4-7-86-1612-101511-7/h7-816H1-6H2H1314H2111215/p-1	false
CPD-18118	D-arabinofuranose 5-phosphate	COP[O-]O[O-]C1COCOCOO1	InChI1S/C5H11O8P/c6-3-21-12-149101113-58437/h2-8H1H2H291011/p-2/t2-3-4+5?/m1/s1	false
CPD0-1578	12-diaminopropanoate	CC[N+]CON	InChI1S/C3H8N2O/c1-24356/h2H4H21H3H256/p+1	false
CPD-85	12-dihydroxy-5-methylthiopent-1-en-3-one	CSCCCC[O-]COO	InChI1S/C6H10O3S/c1-10-3-2-58694-7/h479H2-3H21H3/p-1/b6-4-	false
CPD-14005	<i>E</i>-24-dihydroxycinnamate	C[O-]OCCC1CCCOCCO1	InChI1S/C9H8O4/c10-7-3-1-68115-72-4-91213/h1-510-11HH1213/p-1/b4-2+	false
CPD-6702	1D-<i>myo</i>-inositol 6-monophosphate	C1OCOCOCOP[O-]O[O-]COCO1	InChI1S/C6H13O9P/c7-1-28410651131915-16121314/h1-11HH2121314/p-2/t1-2-3-4+5-6-/m1/s1	false
2H6OH2-4DIENOATE	<I>cis</I><I>cis</I>-2-hydroxy-6-oxohepta-24-dienoate	CCOCCCCOC[O-]O	InChI1S/C7H8O4/c1-583-2-4-6971011/h2-49H1H3H1011/p-1/b3-2-6-4+	false
CPD-10447	2-hydroxylamino-46-dinitrotoluene	CC1CNOCC[N+]O[O-]CC[N+]O[O-]1	InChI1S/C7H7N3O5/c1-4-68-112-5912133-74101415/h2-3811H1H3	false
3-HYDROXY-CISCIS-MUCONATE	3-hydroxy-<i>ciscis</i>-muconate	CCCO[O-]COCCO[O-]	InChI1S/C6H6O5/c7-43-610111-2-589/h1-37HH89H1011/p-2/b2-1-4-3+	false
CPD-8239	<i>E</i>-&beta;-farnesene	CCCCCCCCCCCCCCC	InChI1S/C15H24/c1-6-14410-8-12-15511-7-9-1323/h6912H147-810-11H22-35H3/b15-12+	false
INOSITOL-1456-TETRAKISPHOSPHATE	D-<i>myo</i>-inositol1456-tetrakisphosphate	C1OCOP[O-][O-]OCOP[O-]O[O-]COP[O-]O[O-]COPO[O-][O-]CO1	InChI1S/C6H16O18P4/c7-1-28422-26121314624-28181920523-271516173121-2591011/h1-8HH291011H2121314H2151617H2181920/p-8/t1-2+3-4-5+6+/m1/s1	false
DIHYDROXY-ACETONE-PHOSPHATE	glycerone phosphate	CCOCOOP[O-][O-]O	InChI1S/C3H7O6P/c4-1-352-9-10678/h4H1-2H2H2678/p-2	false
CPD-7857	6<i>E</i>-8-hydroxygeraniol	CCCCCCCOCCCO	InChI1S/C10H18O2/c1-96-7-114-3-5-1028-12/h5-611-12H3-47-8H21-2H3/b9-6+10-5+	false
CPD-16701	8&beta;-hydroxy-germacra-11041113-trien-12-oate	CC1CCCCCCCOCCCO[O-]CCC1	InChI1S/C15H22O3/c1-10-5-4-6-1129-1416138-7-10123151718/h6-713-1416H3-58-9H21-2H3H1718/p-1/b10-7+11-6+/t13-14-/m1/s1	false
DITHIOTHREITOL	L-dithiothreitol	CSCOCOCS	InChI1S/C4H10O2S2/c5-31-7462-8/h3-8H1-2H2/t3-4-/m0/s1	false
FE+3	Fe<SUP>3+</SUP>	[Fe+++]	InChI1S/Fe/q+3	false
CPDQT-522	castasterone-23-O-glucoside	CCCCCCOC1OCCOCOCOCO1COCC[CH]4CC[CH]5[CH]3CCO[CH]2CCOCOCCC2[CH]3CCCC45	InChI1S/C34H58O10/c1-1521633144-32-3042294128402614-3543-32273917419-7-8-20-18-11-233622-12-2437253813-3422621189-10-3319205/h15-2224-323537-42H7-14H21-6H3/t16-17-18-19+20-21-22+24-25+26+27+28+29-30+31+32+33+34+/m0/s1	false
CPD-9868	3-<i>all-trans</i>-nonaprenylbenzene-12-diol	CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC1COCOCCC1CCCCCCCCC	InChI1S/C51H78O2/c1-40220-11-21-41322-12-23-42424-13-25-43526-14-27-44628-15-29-45730-16-31-46832-17-33-47934-18-35-481038-39-49-36-19-37-5052514953/h19-202224262830323436-3852-53H11-18212325272931333539H21-10H3/b41-22+42-24+43-26+44-28+45-30+46-32+47-34+48-38+	false
INDOLE-3-ACETYL-ALA	indole-3-acetyl-alanine	CCC[O-]ONCCC2C1CCCCC1NC2O	InChI1S/C13H14N2O3/c1-813171815-12166-9-7-14-11-5-3-2-4-10911/h2-57-814H6H21H3H1516H1718/p-1	false
CPD-7978	nerol	CCCCCCCCOCC	InChI1S/C10H18O/c1-925-4-6-1037-8-11/h5711H468H21-3H3/b10-7-	false
CPD-15619	<i>aldehydo</i>-L-fucose	CCCOCOC[CH]OOO	InChI1S/C6H12O5/c1-38510611492-7/h2-68-11H1H3/t3-4+5+6-/m0/s1	false
CPD-653	<i>S</i>-NADHX	C1CCCCON1C5OCCOPO[O-]OPO[O-]OCC2OCCOCO2N4CNC3CNNCNC34COCO5CNO	InChI1S/C21H31N7O15P2/c22-17-12-1925-6-24-17287-26-1221-163314311042-215-40-45373843-44353639-4-9-133015322041-927-3-81823341-2-112729/h36-79-1113-1620-2129-33H1-24-5H2H22334H3536H3738H2222425/p-2/t9-10-11+13-14-15-16-20-21-/m1/s1	false
CPD-4205	<i>N</i><sup>6</sup>-&Delta;<sup>2</sup>-isopentenyl-adenosine 5'-monophosphate	CCCCNC3NCNC2NC1CCCO1COP[O-][O-]OOOCNC23C	InChI1S/C15H22N5O7P/c1-823-4-16-13-10-1418-6-17-13207-19-1015-12221121927-155-26-28232425/h36-7911-121521-22H4-5H21-2H3H161718H2232425/p-2/t9-11-12-15-/m1/s1	false
CPD-5821	2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline	CC1ONCONC1NCNOO[O-]	InChI1S/C5H6N4O5/c6-3127-1-514210119-4138-1/h14HH1011H467891213/p-1	false
CPD-8074	1-18:3-2-16:0-monogalactosyldiacylglycerol	CCCCCCCCCCCCCCCCCCOCCCOC1OCCCC1OOOCOOCCCCCCCCCCCCCCCCOO	InChI1S/C43H76O10/c1-3-5-7-9-11-13-15-17-18-20-21-23-25-27-29-31-384550-34-3635-51-43-4249414840473733-4453-4352-394632-30-28-26-24-22-19-16-14-12-10-8-6-4-2/h57111317-1836-3740-4447-49H3-468-101214-1619-35H21-2H3/b7-5-13-11-18-17-/t36-37-40+41+42-43-/m1/s1	false
PYRIDOXAL_PHOSPHATE	pyridoxal 5'-phosphate	CC1NCCCC1OCOCOPO[O-][O-]	InChI1S/C8H10NO6P/c1-5-81173-1062-9-54-15-16121314/h2-311H4H21H3H2121314/p-2	false
HYALURONATE	hyaluronate	CCONC2COCOCCOOCOC1COCOCOOCCO[O-]12	InChI1S/C14H23NO12/c1-31715-5-71961842-1625-14527-10-820921132426-1110122223/h4-1113-141618-2124H2H21H3H1517H2223/p-1/t4-5-6-7-8-9-10+11+13-14+/m1/s1	false
CPD-10546	methylindol-3-ylacetate	C1NC2CC1CCOOCCCCC2	InChI1S/C11H11NO2/c1-14-11136-8-7-12-10-5-3-2-4-9810/h2-5712H6H21H3	false
CARBON-MONOXIDE	carbon monoxide	[C-][O+]	InChI1S/CO/c1-2	false
CPD1F-96	gibberellin A<sub>19</sub>	CC1C2OCC3C1C[CH]4CCCCCCCO[CH]CC234C[O-]OC[O-]O	InChI1S/C20H26O6/c1-11-8-19-9-2011267-4-12191810-216-3-5-17216242514181319152223/h1012-1426H13-9H22H3H2223H2425/p-2/t12-13+14+17+18+19-20-/m0/s1	false
CPD-8134	24-<i>epi</i>-campesterol	CCCCCCCCC[CH]3CC[CH]4[CH]2CCC1CCOCCCC1[CH]2CCCC34	InChI1S/C28H48O/c1-1821937-8-20424-11-12-25-23-10-9-21-17-222913-15-27215262314-16-2824256/h918-2022-2629H7-810-17H21-6H3/t19-20+22-23-24+25-26-27-28+/m0/s1	false
L-GLUTAMATE-5-P	&gamma;-L-glutamyl 5-phosphate	CCCCCO[O-][N+]OP[O-]O[O-]O	InChI1S/C5H10NO7P/c6-35891-2-4713-14101112/h3H1-26H2H89H2101112/p-2/t3-/m0/s1	false
CPD-13931	benzil	C1CCCCC1COCC2CCCCC2O	InChI1S/C14H10O2/c15-1311-7-3-1-4-8-11141612-9-5-2-6-10-12/h1-10H	false
2-HEXAPRENYL-3-METHYL-6-METHOXY-14-BENZ	6-methoxy-3-methyl-2-<i>all-trans</i>-hexaprenyl-14-benzoquinol	CCCCCCCCCCCCCCCCCCCCCCCCCC1CCOCCCC1COOCCCCC	InChI1S/C38H58O3/c1-28215-10-16-29317-11-18-30419-12-20-31521-13-22-32623-14-24-33725-26-35-348363927-3741-9383540/h1517192123252739-40H10-14161820222426H21-9H3/b29-17+30-19+31-21+32-23+33-25+	false
CPD-387	iodide	[I-]	InChI1S/HI/h1H/p-1	false
CPD-782	34-dihydroxyphenylacetate	C[O-]OCC1CCCCC1OO	InChI1S/C8H8O4/c9-6-2-1-53-76104-81112/h1-39-10H4H2H1112/p-1	false
PYRIDOXINE	pyridoxine	CC1NCCCC1OCOCO	InChI1S/C8H11NO3/c1-5-81274-1163-102-9-5/h210-12H3-4H21H3	false
CPD-7196	9-<i>cis</i>-violaxanthin	CCCCCCCCCC12CCCCCOCCO1C2CCCCCCCCCCCCCC34CCCCCOCCO3C4	InChI1S/C40H56O4/c1-2917-13-19-31321-23-39-355625-334127-3739943-3915-11-12-16-30218-14-20-32422-24-40-367826-344228-38401044-40/h11-2433-3441-42H25-28H21-10H3/b12-11+17-13+18-14+23-21+24-22+29-15+30-16+31-19-32-20+/t33-34-37+38+39-40-/m0/s1	false
CPD-9217	solanidine	CC1C[N+]2C3CC4CCCCCCCC123CCC5C4CCC6CC5CCCOC6	InChI1S/C27H43NO/c1-16-5-8-23-17225-24282315-1614-22-20-7-6-18-13-19299-11-26183212010-12-2722254/h616-1719-2529H57-15H21-4H3/p+1/t16-17+19-20+21-22-23+24-25-26-27-/m0/s1	false
CPD-9859	6-methoxy-3-methyl-2-<i>all-trans</i>-heptaprenyl-14-benzoquinol	CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC1CCOCCCC1COOCCCCCC	InChI1S/C43H66O3/c1-32217-11-18-33319-12-20-34421-13-22-35523-14-24-36625-15-26-37727-16-28-38829-30-40-399414431-4246-10434045/h171921232527293144-45H11-1618202224262830H21-10H3/b33-19+34-21+35-23+36-25+37-27+38-29+	false
CPD-6121	1-3-aminopropyl-4-aminobutanal	CCC[N+][N+]CCCCO	InChI1S/C7H16N2O/c8-4-3-6-9-5-1-2-7-10/h79H1-68H2/p+2	false
CPD-7167	1-guanidino-1-deoxy-<i>scyllo</i>-inositol 4-phosphate	C1NC[N+]NCOCOCOPO[O-][O-]COCO1	InChI1S/C7H16N3O8P/c8-7910-1-2114136514311218-19151617/h1-611-14HH48910H2151617/p-1/t1-2-3+4+5-6-	false
CPD-9757	L-&alpha;-methylenecyclopropyl-glycine	CC1CC1C[N+]CO[O-]	InChI1S/C6H9NO2/c1-3-2-4357689/h4-5H1-27H2H89/t4?5-/m0/s1	false
CPD-479	4-methylthio-2-oxobutanoate	CSCCCC[O-]OO	InChI1S/C5H8O3S/c1-9-3-2-46578/h2-3H21H3H78/p-1	false
ADENOSYL-HOMO-CYS	<i>S</i>-adenosyl-L-homocysteine	CSCC3COCOCN2C1NCNCNC1NC2O3CCC[O-]O[N+]	InChI1S/C14H20N6O5S/c15-61423241-2-26-3-7-92110221325-720-5-19-8-111617-4-18-12820/h4-79-101321-22H1-315H2H2324H2161718/t6-7+9+10+13+/m0/s1	false
CPD-8004	isorhamnetin	COC1CCCCCO1C2OC3CCOC[O-]2COCCOC3	InChI1S/C16H12O7/c1-22-11-4-72-3-9111816-1521142013-10195-8176-121323-16/h2-617-1921H1H3/p-1	false
BENZOYLCOA	benzoyl-CoA	CCCCOCONCCCONCCSCOC1CCCCC1COPOOPOOCC2COP[O-]O[O-]COCO2N4C3CCNNCN3NC4[O-][O-]	InChI1S/C28H40N7O17P3S/c1-2822238253931-9-8-183630-10-11-56-274016-6-4-3-5-7-1613-49-55464752-54444548-12-17-2151-5341424320372650-1735-15-34-19-232932-14-33-241935/h3-714-151720-222637-38H8-13H21-2H3H3036H3139H4445H4647H2293233H2414243/p-4/t17-20-21-22+26-/m1/s1	false
CPD-9893	chelirubine	C[N+]2CC5C6OCOCCCOCCC1CCC3CC4OCOCCCC123456	InChI1S/C21H16NO5/c1-22-8-14-191723-27-18-211427-10-26-1812-4-3-11-5-15-1625-9-24-156-1311201222/h3-8H9-10H21-2H3/q+1	false
CPD-13559	&alpha;-D-mannopyranose	COC1COCOCOCOO1	InChI1S/C6H12O6/c7-1-2-384951061112-2/h2-11H1H2/t2-3-4+5+6+/m1/s1	false
CPD-8843	3<i>R</i>6<i>E</i>-nerolidol	CCCCCCCCCCCCCCOC	InChI1S/C15H26O/c1-6-1551612-8-11-14410-7-9-1323/h691116H17-81012H22-5H3/b14-11+/t15-/m0/s1	false
MI-PENTAKISPHOSPHATE	D-<i>myo</i>-inositol12345-pentakisphosphate	C1OCOP[O-]O[O-]COPO[O-][O-]COPO[O-][O-]COP[O-][O-]OCOP[O-][O-]O1	InChI1S/C6H17O21P5/c7-1-223-288910425-30141516627-32202122526-311718193124-29111213/h1-7HH28910H2111213H2141516H2171819H2202122/p-10/t1-2-3+4-5-6-/m0/s1	false
CPD-8138	6-hydroxyflavone	C3CCCC1OC2CCOC1CCOCC2CC3	InChI1S/C15H10O3/c16-11-6-7-14-128-1113179-1518-1410-4-2-1-3-5-10/h1-916H	false
CMP	CMP	CC2CCCN1CNCCC1NOO2OOOP[O-][O-]O	InChI1S/C9H14N3O8P/c10-5-1-2-1291511-58-714613420-83-19-21161718/h1-246-813-14H3H2H2101115H2161718/p-2/t4-6-7-8-/m1/s1	false
CPD-12447	phlorizin	COC3COCOCOCOC2CCCCC1CCCOCC1OCOCC[O-]C2O3	InChI1S/C21H24O10/c22-9-16-1827192820292131-1630-15-8-12247-1426171513256-3-10-1-4-11235-2-10/h1-24-57-81618-2426-29H369H2/p-1/t16-18-19+20-21-/m1/s1	false
CPD-352	17&beta;-estradiol	CC12[CH]CCCO1[CH]4[CH]CC2C3CCCOCC3CC4	InChI1S/C18H24O2/c1-18-9-8-14-13-5-3-121910-11132-4-151416186-7-171820/h351014-1719-20H246-9H21H3/t14-15-16+17+18+/m1/s1	false
CPD-17640	18-hydroxystearate	COCCCCCCCCCCCCCCCCC[O-]O	InChI1S/C18H36O3/c19-17-15-13-11-9-7-5-3-1-2-4-6-8-10-12-14-16-182021/h19H1-17H2H2021/p-1	false
CPD-16676	2&beta;3&beta;-dihydroxy-1215-cassadiene-11-one	CCC3CCC2CC1CCOCCC1CC2CCOCCC3O	InChI1S/C20H30O3/c1-6-12-9-142117-13111227-8-16-19341823152210-2016175/h69111315-1822-23H17-810H22-5H3/t11-13?15-16?17?18-20-/m0/s1	false
D-ERYTHRO-IMIDAZOLE-GLYCEROL-P	D-erythro-imidazole-glycerol-phosphate	C1NCNC1CCOCOPO[O-][O-]O	InChI1S/C6H11N2O6P/c9-52-14-151112136104-1-7-3-8-4/h135-69-10H2H2H78H2111213/p-2/t5-6+/m1/s1	false
